Symbol,Company Name,Industry,Mkt Cap,Prior Close,P/E Ratio (TTM)*,Revenue Growth CFY*,Return on Equity,EPS Growth CFY*,Dividend Yield
SPB,Spectrum Brands Holdings Inc,Household Goods,$2.457B,60.23,--,0.99%,-5.65%,33.09%,2.79%
SPMYY,Spirent Communications Plc (ADR),Communications & Networking,$2.103B,13.75,22.35x,0.00%,21.78%,0.00%,1.91%
SPR,"Spirit AeroSystems Holdings, Inc.",Aerospace & Defense,$3.081B,29.30,--,29.32%,-223.64%,53.18%,0.14%
SAVE,Spirit Airlines Incorporated,Passenger Transportation Services,$2.156B,19.81,--,57.08%,-18.36%,55.95%,0.00%
SRC,Spirit Realty Capital Inc,Residential & Commercial REITs,$5.716B,40.93,21.67x,15.37%,6.20%,45.19%,6.48%
SPLK,Splunk Inc,Software & IT Services,$14.078B,86.00,--,29.88%,0.00%,0.00%,0.00%
SRAD,Sportradar Group AG,Software & IT Services,$1.956B,9.53,56.07x,0.00%,6.55%,0.00%,0.00%
SPWH,Sportsman's Warehouse Holdings Inc,Other Specialty Retailers,$340.027M,9.02,4.44x,-6.98%,32.69%,-40.12%,0.00%
SPOT,Spotify Technology SA,Software & IT Services,$14.740B,77.49,--,0.00%,-9.15%,0.00%,0.00%
SWTX,SpringWorks Therapeutics Inc,Biotechnology & Medical Research,$1.477B,23.68,--,0.00%,-48.06%,0.00%,0.00%
CXM,Sprinklr Inc,Software & IT Services,$968.560M,8.30,--,0.00%,-17.26%,0.00%,0.00%
CEF,Sprott Physical Gold and Silver Trust,Collective Investments ,$3.893B,18.11,--,0.00%,-9.17%,0.00%,0.00%
PHYS,Sprott Physical Gold Trust,Collective Investments ,$2.745B,14.05,--,0.00%,-8.00%,0.00%,0.00%
PSLV,Sprott Physical Silver Trust,Collective Investments ,$472.075M,8.21,--,0.00%,-17.13%,0.00%,0.00%
SPT,Sprout Social Inc,Software & IT Services,$2.727B,57.71,--,35.20%,-33.51%,23.08%,0.00%
SFM,Sprouts Farmers Market Inc,Food & Drug Retailing ,$3.577B,33.79,14.79x,4.79%,25.12%,10.48%,0.00%
SPSC,"SPS Commerce, Inc.",Software & IT Services,$4.594B,127.45,90.64x,16.71%,10.63%,23.63%,0.00%
SPXC,SPX Technologies Inc,"Machinery, Equipment & Components",$3.036B,67.19,50.10x,18.09%,5.81%,25.32%,0.00%
SQSP,Squarespace Inc,Software & IT Services,$1.934B,21.73,--,9.77%,0.00%,0.00%,0.00%
SSNC,"SS&C Technologies Holdings, Inc.",Software & IT Services,$12.936B,51.35,19.64x,4.47%,11.98%,-6.77%,1.56%
SSEZY,SSE PLC - ADR,Electrical Utilities & IPPs,$22.349B,20.68,0.00x,0.00%,0.00%,0.00%,4.96%
SSRM,SSR Mining Inc,Metals & Mining,$3.273B,15.84,15.76x,0.00%,6.58%,0.00%,1.77%
JOE,St Joe Co,Real Estate Operations,$2.219B,38.03,29.96x,0.00%,12.51%,0.00%,1.05%
STAA,STAAR Surgical Company,Healthcare Equipment & Supplies,$2.387B,49.98,65.23x,23.81%,13.29%,52.00%,0.00%
STAG,Stag Industrial Inc,Residential & Commercial REITs,$5.844B,32.61,24.59x,16.08%,7.35%,-21.74%,4.48%
STGW,Stagwell Inc,Media & Publishing,$867.111M,6.63,40.06x,0.00%,14.83%,0.00%,0.00%
SMP,"Standard Motor Products, Inc.",Automobiles & Auto Parts,$768.971M,35.65,9.38x,6.40%,14.25%,-22.25%,3.03%
SXI,Standex International Corp,"Machinery, Equipment & Components",$1.250B,104.26,19.67x,2.88%,12.74%,13.46%,1.07%
SWK,"Stanley Black & Decker, Inc.","Machinery, Equipment & Components",$10.840B,73.27,21.19x,7.83%,5.78%,-60.98%,4.37%
STN,Stantec Inc. (USA),Construction & Engineering,$4.479B,47.43,37.72x,21.91%,9.04%,24.38%,1.12%
SBLK,Star Bulk Carriers Corp.,Freight & Logistics Services,$1.995B,20.54,2.36x,-18.33%,46.15%,-10.56%,23.37%
SGU,Star Group LP,Oil & Gas,$535.043M,11.57,14.08x,0.00%,11.71%,0.00%,5.27%
SBUX,Starbucks Corporation,Hotels & Entertainment Services,$113.253B,98.67,34.83x,11.28%,0.00%,15.54%,2.15%
STWD,"Starwood Property Trust, Inc.",Residential & Commercial REITs,$5.959B,19.25,7.40x,23.50%,14.74%,-13.31%,9.97%
STT,State Street Corp,Investment Banking & Investment Services,$28.882B,78.71,11.15x,-0.36%,10.72%,-2.96%,3.20%
STLD,"Steel Dynamics, Inc.",Metals & Mining,$18.403B,104.82,4.62x,20.64%,63.60%,35.61%,1.30%
SPLP,Steel Partners Holdings LP,Metals & Mining,$1.169B,42.90,6.96x,0.00%,24.05%,0.00%,0.00%
SCS,Steelcase Inc.,Professional & Commercial Services  ,$615.701M,6.67,--,14.84%,0.00%,"1,466.67%",6.00%
STEL,Stellar Bancorp Inc,Banking Services,$730.481M,29.79,21.20x,74.73%,6.47%,44.26%,1.75%
STEM,Stem Inc,Renewable Energy,$1.565B,10.13,--,0.00%,-20.34%,0.00%,0.00%
SCL,Stepan Company,Chemicals,$2.431B,108.98,16.42x,19.33%,14.02%,11.36%,1.34%
STEP,Stepstone Group Inc,Investment Banking & Investment Services,$1.658B,26.71,34.12x,0.00%,6.91%,0.00%,3.00%
SRCL,Stericycle Inc,Professional & Commercial Services  ,$4.681B,50.78,443.84x,3.26%,0.45%,-5.48%,0.00%
STE^K15,Steris PLC,Healthcare Equipment & Supplies,$18.116B,181.48,--,7.83%,-0.13%,6.44%,1.04%
SBT,Sterling Bancorp Inc,Banking Services,$313.436M,6.17,25.28x,-16.03%,3.69%,-70.00%,0.00%
STER,Sterling Check Corp,Professional & Commercial Services  ,$1.494B,15.39,50.97x,0.00%,4.11%,0.00%,0.00%
STRL,Sterling Infrastructure Inc,Construction & Engineering,$964.494M,31.80,11.24x,21.10%,22.57%,39.56%,0.00%
STVN,Stevanato Group SpA,Healthcare Equipment & Supplies,$611.126M,17.92,32.15x,0.00%,15.86%,0.00%,0.30%
SHOO,"Steven Madden, Ltd.",Textiles & Apparel,$2.509B,32.22,10.21x,13.63%,30.50%,19.66%,2.61%
STC,Stewart Information Services Corp,Insurance,$1.173B,43.25,5.05x,-6.75%,18.37%,-39.29%,4.16%
SF,Stifel Financial Corp,Investment Banking & Investment Services,$6.233B,58.65,9.76x,-5.72%,16.41%,-14.83%,2.05%
STM,STMicroelectronics NV (ADR),Semiconductors & Semiconductor Equipment ,$33.416B,37.52,10.19x,26.26%,35.64%,85.19%,0.80%
SYBT,Stock Yards Bancorp Inc,Banking Services,$1.913B,65.40,21.19x,34.54%,12.61%,6.40%,1.77%
STOK,Stoke Therapeutics Inc,Biotechnology & Medical Research,$325.700M,8.26,--,0.00%,-45.22%,0.00%,0.00%
STNE,StoneCo Ltd,Financial Technology (Fintech) & Infrastructure,$2.433B,9.47,--,0.00%,-10.27%,0.00%,0.00%
SRI,"Stoneridge, Inc.",Automobiles & Auto Parts,$598.735M,21.91,--,10.35%,-7.28%,44.07%,0.00%
SNEX,Stonex Group Inc,Investment Banking & Investment Services,$2.010B,98.55,9.85x,4.96%,20.36%,-8.89%,0.00%
SEOAY,Stora Enso OYJ (ADR),Paper & Forest Products,$8.720B,14.24,--,0.00%,14.20%,0.00%,4.24%
STOR,Store Capital Corp,Residential & Commercial REITs,$9.043B,31.99,27.68x,16.25%,6.13%,20.20%,5.13%
SSYS,Stratasys Ltd,Electronic Equipment & Parts,$662.419M,11.70,--,7.02%,-3.31%,0.00%,0.00%
STRA,Strategic Education Inc,Miscellaneous Educational Service Providers,$1.979B,80.91,38.92x,-5.69%,3.04%,-44.81%,2.97%
LRN,Stride Inc,Miscellaneous Educational Service Providers,$1.399B,32.50,15.20x,2.76%,11.99%,-19.05%,0.00%
SYK,Stryker Corporation,Healthcare Equipment & Supplies,$91.406B,241.54,37.57x,6.39%,16.04%,0.88%,1.24%
MSC^F10,Studio City International Holdings Ltd,Hotels & Entertainment Services,$3.698B,4.80,--,0.00%,-34.37%,0.00%,0.00%
RGR,Sturm Ruger & Company Inc,Leisure Products,$911.087M,51.57,8.54x,-20.31%,29.19%,-44.42%,4.69%
SUBCY,Subsea 7 SA (ADR),Oil & Gas Related Equipment and Services,$3.405B,11.35,49.63x,0.00%,1.64%,0.00%,0.99%
SPH,Suburban Propane Partners LP,Oil & Gas,$946.398M,15.33,7.10x,0.00%,30.27%,13.76%,8.48%
SMFG,Sumitomo Mitsui Financial Group Inc(ADR),Banking Services,$53.888B,7.84,9.18x,0.00%,6.22%,0.00%,6.49%
SMMF,"Summit Financial Group, Inc.",Banking Services,$320.292M,25.06,6.47x,27.15%,15.69%,19.02%,3.19%
INN,Summit Hotel Properties Inc,Residential & Commercial REITs,$761.100M,7.12,--,85.94%,-2.10%,91.25%,2.25%
SUM,Summit Materials Inc,Construction Materials,$3.512B,29.68,12.53x,1.35%,15.38%,8.04%,0.00%
SMMT,Summit Therapeutics Inc,Biotechnology & Medical Research,$791.192M,3.93,--,0.00%,-73.58%,0.00%,0.00%
SUMO,Sumo Logic Inc,Software & IT Services,$981.706M,8.18,--,23.26%,-32.15%,21.74%,0.00%
SUI,Sun Communities Inc,Residential & Commercial REITs,$17.523B,141.44,68.80x,30.17%,3.33%,-38.10%,2.49%
SNCY,Sun Country Airlines Holdings Inc,Passenger Transportation Services,$961.501M,16.53,105.59x,0.00%,1.98%,0.00%,0.00%
SUHJY,Sun Hung Kai Properties Limited (ADR),Real Estate Operations,$38.425B,13.26,11.72x,0.00%,4.28%,0.00%,7.13%
SLF,Sun Life Financial Inc,Insurance,$28.427B,46.65,11.66x,-25.25%,12.42%,2.16%,4.62%
SXC^K09,SunCoke Energy Inc,Metals & Mining,$716.423M,8.59,7.14x,29.33%,19.11%,128.85%,3.73%
SU,Suncor Energy Inc. (USA),Oil & Gas,$44.942B,31.08,7.64x,54.16%,21.19%,223.83%,4.98%
NOVA,Sunnova Energy International Inc,Renewable Energy,$2.267B,19.73,--,108.98%,-12.54%,-21.60%,0.00%
SUN^J12,Sunoco LP,Oil & Gas,$3.522B,42.43,8.13x,31.34%,49.72%,-2.65%,7.78%
STKL,"SunOpta, Inc. (USA)",Food & Tobacco,$876.959M,8.13,--,0.00%,-4.69%,0.00%,0.00%
SPWR,SunPower Corporation,Renewable Energy,$3.503B,20.11,34.43x,29.23%,24.88%,105.88%,0.00%
RUN,Sunrun Inc,Renewable Energy,$5.801B,27.22,94.44x,42.96%,1.12%,0.00%,0.00%
SHO,Sunstone Hotel Investors Inc,Residential & Commercial REITs,$1.982B,9.42,10.54x,75.81%,10.74%,0.00%,2.12%
SMCI,"Super Micro Computer, Inc.","Computers, Phones & Household Electronics",$4.439B,83.87,10.28x,32.36%,32.21%,78.76%,0.00%
SUPN,Supernus Pharmaceuticals Inc,Pharmaceuticals,$2.048B,37.88,60.92x,17.56%,4.53%,135.71%,0.00%
SGRY,Surgery Partners Inc,Healthcare Providers & Services,$2.447B,27.20,--,13.29%,-3.24%,0.00%,0.00%
SRDX,"SurModics, Inc.",Healthcare Equipment & Supplies,$476.377M,33.93,--,11.65%,-21.95%,-154.74%,0.00%
SDAC,Sustainable Development Acquisitn I Corp,Holding Companies,$317.199M,10.03,25.19x,0.00%,5.29%,0.00%,0.00%
STRO,Sutro Biopharma Inc,Biotechnology & Medical Research,$402.325M,7.00,--,0.00%,-47.82%,0.00%,0.00%
SIVB,SVB Financial Group,Banking Services,$12.846B,217.35,8.07x,4.92%,13.32%,-16.19%,0.00%
SVFA,SVF Investment Corp,Holding Companies,$500.535M,10.09,24.37x,0.00%,5.54%,0.00%,0.00%
SWDBY,Swedbank AB (ADR),Banking Services,$19.088B,16.86,9.94x,0.00%,11.92%,0.00%,12.09%
SG,Sweetgreen Inc,Hotels & Entertainment Services,$903.157M,9.28,--,0.00%,-158.31%,0.00%,0.00%
SCMWY,Swisscom AG (ADR),Telecommunications Services,$28.160B,54.36,17.28x,0.00%,14.18%,0.00%,4.35%
SLVM,Sylvamo Corp,Paper & Forest Products,$2.189B,49.61,7.04x,0.00%,118.55%,0.00%,2.02%
SYM,Symbotic Inc,"Machinery, Equipment & Components",$4.966B,11.91,--,0.00%,0.00%,0.00%,0.00%
SYNA,"Synaptics, Incorporated",Semiconductors & Semiconductor Equipment ,$3.906B,97.96,14.14x,-12.55%,24.23%,-26.59%,0.00%
$SYF,Synchrony Financial,Banking Services,$14.994B,33.28,5.26x,9.37%,25.20%,-17.71%,2.76%
SNDX,Syndax Pharmaceuticals Inc,Biotechnology & Medical Research,$1.453B,24.12,--,-99.69%,-5.19%,0.00%,0.00%
SYNH,Syneos Health Inc,Biotechnology & Medical Research,$3.660B,35.57,12.87x,2.10%,8.60%,5.61%,0.00%
SNPS,"Synopsys, Inc.",Software & IT Services,$50.331B,330.22,52.47x,14.08%,18.21%,16.07%,0.00%
SNV,Synovus Financial Corp.,Banking Services,$5.290B,36.37,7.41x,21.94%,17.11%,-0.61%,3.74%
SRHYY,Syrah Resources Ltd - ADR,Metals & Mining,$1.046B,1.56,0.00x,0.00%,0.00%,0.00%,0.00%
SYY,SYSCO Corporation,Food & Drug Retailing ,$39.092B,77.14,27.33x,11.02%,103.73%,27.69%,2.54%
SST,System1 Inc,Software & IT Services,$418.868M,4.58,--,0.00%,-43.43%,0.00%,0.00%
TROW,T Rowe Price Group Inc,Investment Banking & Investment Services,$25.263B,113.05,12.98x,-15.57%,23.11%,-37.73%,4.25%
TMUS,T-Mobile Us Inc,Telecommunications Services,$176.010B,141.47,115.84x,-0.07%,2.22%,-18.67%,0.00%
TBLA,Taboola.com Ltd,Software & IT Services,$501.367M,2.66,--,0.00%,-3.44%,0.00%,0.00%
TWNI,Tailwind International Acquisition Corp,Holding Companies,$346.725M,10.05,46.08x,0.00%,2.87%,0.00%,0.00%
TSM,Taiwan Semiconductor Mfg. Co. Ltd. (ADR),Semiconductors & Semiconductor Equipment ,$391.618B,77.14,13.83x,31.75%,36.85%,56.55%,2.30%
TTWO,Take-Two Interactive Software Inc,Leisure Products,$16.762B,99.88,--,60.25%,-1.64%,-21.15%,0.00%
TAK,Takeda Pharmaceutical Co Ltd (ADR),Pharmaceuticals,$48.735B,15.40,29.83x,0.00%,3.54%,0.00%,6.86%
TAL,TAL Education Group (ADR),Miscellaneous Educational Service Providers,$1.651B,9.94,--,-77.31%,-6.25%,99.33%,0.00%
TALO,Talos Energy Inc,Oil & Gas,$1.609B,19.49,3.54x,0.00%,50.29%,0.00%,0.00%
TNDM,Tandem Diabetes Care Inc,Healthcare Equipment & Supplies,$2.734B,42.52,--,14.19%,-16.74%,0.00%,0.00%
SKT,Tanger Factory Outlet Centers Inc.,Residential & Commercial REITs,$1.904B,18.25,25.34x,0.80%,15.98%,875.00%,4.82%
TNGX,Tango Therapeutics Inc,Biotechnology & Medical Research,$704.534M,7.99,--,0.00%,-31.69%,0.00%,0.00%
TPR,Tapestry Inc,Other Specialty Retailers,$8.964B,37.16,11.81x,-1.44%,30.51%,4.90%,3.23%
TRGP,Targa Resources Corp,Oil & Gas Related Equipment and Services,$16.317B,72.08,69.56x,29.37%,10.66%,113.61%,1.94%
TGT,Target Corporation,Diversified Retail,$65.502B,142.30,19.48x,2.25%,27.78%,-59.29%,3.04%
TH,Target Hospitality Corp,Hotels & Entertainment Services,$1.517B,15.60,33.55x,0.00%,37.79%,0.00%,0.00%
TARO,Taro Pharmaceutical Industries Ltd.,Pharmaceuticals,$1.100B,29.00,16.77x,15.57%,3.85%,92.26%,0.00%
TARS,Tarsus Pharmaceuticals Inc,Biotechnology & Medical Research,$384.610M,14.42,--,0.00%,-33.18%,0.00%,0.00%
TGB,Taseko Mines Ltd (USA),Metals & Mining,$334.932M,1.51,--,0.00%,-3.38%,0.00%,0.00%
TASK,Taskus Inc,Professional & Commercial Services  ,$432.630M,16.72,38.45x,0.00%,11.26%,0.00%,0.00%
TTM,Tata Motors Limited (ADR),Automobiles & Auto Parts,$15.955B,24.02,6.86x,0.00%,0.00%,0.00%,0.00%
TATYY,Tate & Lyle PLC (ADR),Food & Tobacco,$3.251B,34.65,37.38x,0.00%,5.79%,0.00%,2.51%
TMHC,Taylor Morrison Home Corp,Homebuilding & Construction Supplies,$3.364B,31.05,3.53x,11.37%,26.02%,80.31%,0.00%
TRP,TC Energy Corp (USA),Oil & Gas Related Equipment and Services,$28.393B,40.41,16.95x,10.32%,10.31%,0.00%,6.55%
TCVA,TCV Acquisition Corp,Holding Companies,$414.288M,10.08,1012.05x,0.00%,0.31%,0.00%,0.00%
SNX,TD Synnex Corp,"Computers, Phones & Household Electronics",$9.273B,97.05,17.00x,95.90%,10.80%,21.38%,1.24%
TTDKY,TDK Corp (ADR),"Machinery, Equipment & Components",$13.282B,33.33,11.23x,0.00%,11.34%,0.00%,2.17%
TEL,TE Connectivity Ltd,"Machinery, Equipment & Components",$36.640B,115.50,15.46x,-1.29%,22.64%,-6.00%,1.94%
TETC,Tech and Energy Transition Corp,Holding Companies,$384.230M,9.98,39.89x,0.00%,3.30%,0.00%,0.00%
FTI,TechnipFMC PLC,Oil & Gas Related Equipment and Services,$5.384B,12.06,--,3.81%,-4.89%,0.00%,0.00%
TTGT,TechTarget Inc,Software & IT Services,$1.272B,43.37,94.95x,12.31%,8.42%,9.01%,0.00%
TTNDY,Techtronic Industries Co. Ltd. (ADR),"Machinery, Equipment & Components",$20.772B,56.61,18.05x,0.00%,24.76%,0.00%,2.19%
TECK,Teck Resources Ltd (USA),Metals & Mining,$21.746B,38.63,6.33x,0.00%,19.42%,0.00%,0.96%
TGLS,Tecnoglass Inc,Homebuilding & Construction Supplies,$1.460B,30.63,12.11x,41.72%,44.03%,83.33%,0.98%
TK,Teekay Corporation,Oil & Gas Related Equipment and Services,$465.101M,4.60,--,0.00%,-35.82%,0.00%,0.00%
TNK,Teekay Tankers Ltd.,Oil & Gas Related Equipment and Services,$924.597M,31.76,25.84x,135.44%,4.76%,0.00%,0.00%
TGNA,Tegna Inc,Media & Publishing,$4.490B,20.11,8.33x,10.84%,20.42%,36.28%,1.89%
TRC,Tejon Ranch Company,Real Estate Operations,$496.345M,18.73,28.87x,32.70%,3.84%,170.00%,0.00%
HQH,Tekla Healthcare Investors,Collective Investments ,$475.622M,18.76,--,0.00%,-18.73%,0.00%,11.83%
THQ,Tekla Healthcare Opportunities Fund,Collective Investments ,$818.945M,19.81,--,0.00%,-9.52%,0.00%,6.81%
THW,Tekla World Healthcare Fund,Collective Investments ,$556.021M,14.80,--,0.00%,-12.32%,0.00%,9.46%
TDOC,Teladoc Health Inc,Healthcare Providers & Services,$4.286B,26.47,--,18.07%,-89.48%,"-2,049.45%",0.00%
TEO,Telecom Argentina SA (ADR),Telecommunications Services,$897.755M,4.56,--,-17.43%,-26.63%,0.00%,0.00%
TIIAY,Telecom Italia SpA (ADR),Telecommunications Services,$2.341B,2.28,--,0.00%,-54.85%,0.00%,0.00%
TDY,Teledyne Technologies Incorporated,Electronic Equipment & Parts,$18.732B,399.66,26.36x,18.17%,9.59%,5.46%,0.00%
TFX,Teleflex Incorporated,Healthcare Equipment & Supplies,$11.619B,247.71,28.45x,-0.59%,10.92%,-2.63%,0.55%
ERIC,Telefonaktiebolaget LM Ericsson,Communications & Networking,$17.943B,5.84,8.91x,-3.12%,19.27%,-28.24%,6.20%
VIV^F11,Telefonica Brasil SA (ADR),Telecommunications Services,$12.091B,7.21,11.23x,11.58%,8.08%,-32.35%,10.44%
TEF,Telefonica S.A. (ADR),Telecommunications Services,$20.271B,3.51,133.38x,0.00%,0.25%,0.00%,4.42%
TKAGY,Telekom Austria AG (ADR),Telecommunications Services,$4.249B,12.79,7.38x,0.00%,16.49%,0.00%,4.45%
TELNY,Telenor ASA (ADR),Telecommunications Services,$16.299B,9.04,13.43x,0.00%,36.40%,0.00%,10.23%
TDS,"Telephone & Data Systems, Inc.",Telecommunications Services,$1.082B,10.19,23.85x,2.73%,1.01%,0.00%,7.07%
TLK,Telkom Indonesia (Persero) Tbk PT -ADR,Telecommunications Services,$24.051B,23.86,14.81x,0.00%,22.20%,0.00%,4.35%
TLKGY,Telkom SA SOC Ltd (ADR),Telecommunications Services,$1.038B,8.12,9.26x,0.00%,5.68%,0.00%,0.00%
TELL,Tellurian Inc,Oil & Gas,$1.045B,1.85,--,443.55%,-24.43%,50.00%,0.00%
TLS,Telos Corp,Software & IT Services,$340.760M,5.07,--,0.00%,-22.30%,0.00%,0.00%
TLGPY,Telstra Group Ltd (ADR),Telecommunications Services,$31.139B,13.48,27.98x,0.00%,11.28%,0.00%,4.08%
TU,TELUS Corporation (USA),Telecommunications Services,$23.449B,19.72,18.50x,6.64%,12.65%,17.76%,5.24%
TDF,Templeton Dragon Fund Inc,Investment Banking & Investment Services,$344.463M,10.19,--,0.00%,0.00%,0.00%,0.00%
GIM,Templeton Global Income Fund,Investment Banking & Investment Services,$431.428M,4.20,--,0.00%,-11.60%,0.00%,10.26%
TPX,Tempur Sealy International Inc,Household Goods,$5.796B,33.90,11.95x,0.35%,505.67%,-19.44%,1.18%
TENB,Tenable Holdings Inc,Software & IT Services,$4.283B,38.07,--,25.68%,-35.72%,-5.88%,0.00%
TNABY,Tenaga Nasional Bhd (ADR),Electrical Utilities & IPPs,$11.975B,8.33,0.00x,0.00%,0.00%,0.00%,4.02%
TS,Tenaris SA  (ADR),Oil & Gas Related Equipment and Services,$20.873B,34.79,9.70x,76.90%,16.95%,108.06%,2.59%
TME,Tencent Music Entertainment Group - ADR,Software & IT Services,$14.204B,8.48,31.46x,0.00%,6.30%,0.00%,0.00%
THC,Tenet Healthcare Corp,Healthcare Providers & Services,$4.990B,46.15,9.09x,-1.23%,57.03%,-19.39%,0.00%
TNC,Tennant Company,"Machinery, Equipment & Components",$1.129B,60.70,22.55x,-0.05%,11.63%,-12.30%,1.75%
TDC,Teradata Corporation,Software & IT Services,$3.395B,33.35,50.29x,-7.03%,21.10%,-34.16%,0.00%
TER,"Teradyne, Inc.",Semiconductors & Semiconductor Equipment ,$13.979B,89.75,20.23x,-15.32%,32.01%,-31.44%,0.49%
TEX,Terex Corporation,"Machinery, Equipment & Components",$2.946B,43.64,11.43x,10.56%,25.53%,34.20%,1.19%
TX,Ternium SA (ADR),Metals & Mining,$60.031B,30.58,2.20x,3.73%,25.23%,-48.95%,8.83%
TERN,Terns Pharmaceuticals Inc,Biotechnology & Medical Research,$320.471M,8.52,--,0.00%,-33.03%,0.00%,0.00%
TRNO,Terreno Realty Corporation,Residential & Commercial REITs,$4.327B,56.88,25.05x,22.69%,8.75%,73.98%,2.81%
TSCDY,Tesco PLC (ADR),Food & Drug Retailing ,$17.605B,8.17,18.22x,0.00%,7.03%,0.00%,5.17%
TSLA,Tesla Inc,Automobiles & Auto Parts,$434.412B,137.57,42.38x,54.48%,33.44%,78.76%,0.00%
TTEK,"Tetra Tech, Inc.",Professional & Commercial Services  ,$7.996B,150.92,31.04x,5.81%,21.77%,9.33%,0.61%
TTI,"TETRA Technologies, Inc.",Oil & Gas Related Equipment and Services,$441.167M,3.43,50.47x,39.43%,8.63%,0.00%,0.00%
TEVA,Teva Pharmaceutical Industries Ltd (ADR),Pharmaceuticals,$9.851B,8.87,--,-4.78%,-13.41%,-3.88%,0.00%
TCBI,Texas Capital Bancshares Inc,Banking Services,$2.837B,56.85,17.77x,7.37%,6.00%,-35.22%,0.00%
TXN,Texas Instruments Incorporated,Semiconductors & Semiconductor Equipment ,$153.135B,168.73,17.67x,8.93%,66.67%,12.23%,2.94%
TPL,Texas Pacific Land Corp,Oil & Gas,$20.030B,"2,599.99",47.24x,55.13%,64.39%,72.15%,0.46%
TXRH,Texas Roadhouse Inc,Hotels & Entertainment Services,$6.366B,95.14,24.79x,16.25%,25.75%,17.14%,1.93%
TGH,Textainer Group Holdings Limited,Professional & Commercial Services  ,$1.583B,31.34,5.06x,8.45%,19.25%,9.79%,0.80%
TXT,Textron Inc.,Aerospace & Defense,$14.842B,71.09,18.37x,3.78%,13.17%,21.52%,0.11%
TFSL,TFS Financial Corporation,Banking Services,$3.951B,14.09,53.74x,21.85%,4.09%,23.08%,8.02%
TGTX,TG Therapeutics Inc,Biotechnology & Medical Research,$1.283B,8.83,--,-8.27%,-115.86%,47.91%,0.00%
THCH,TH International Limited,Food & Tobacco,$525.103M,3.54,--,0.00%,0.00%,0.00%,0.00%
THLLY,Thales SA (ADR),Aerospace & Defense,$27.381B,25.66,--,0.00%,0.00%,0.00%,2.17%
HCKT,"The Hackett Group, Inc.",Professional & Commercial Services  ,$628.036M,19.81,13.55x,4.62%,30.46%,10.69%,2.21%
HOKCY,The Hong Kong and China Gas Co. (ADR),Natural Gas Utilities,$9.140B,0.90,31.74x,0.00%,6.09%,0.00%,4.94%
TBPH,Theravance Biopharma Inc,Pharmaceuticals,$761.236M,11.30,--,-6.79%,-104.72%,0.00%,0.00%
TMO,Thermo Fisher Scientific Inc.,Healthcare Equipment & Supplies,$211.743B,539.89,30.34x,11.97%,17.10%,-8.32%,0.22%
THR,Thermon Group Holdings Inc,"Machinery, Equipment & Components",$659.123M,19.69,17.68x,15.83%,9.70%,62.65%,0.00%
THVB,Thomasville Bancshares Inc,Banking Services,$383.001M,64.50,119.21x,0.00%,0.00%,0.00%,2.79%
TRI,Thomson Reuters Corp,Professional & Commercial Services  ,$78.011B,112.38,52.90x,4.40%,7.87%,27.18%,1.58%
THO,"Thor Industries, Inc.",Leisure Products,$4.201B,78.50,4.18x,-27.85%,30.59%,-62.46%,2.29%
TBLD,Thornburg Income Builder Opprtnts Trust,Collective Investments ,$460.362M,14.35,--,0.00%,0.00%,0.00%,8.71%
TWKS,Thoughtworks Holding Inc,Software & IT Services,$3.180B,10.10,--,20.74%,-22.36%,-10.87%,0.00%
THRY,Thryv Holdings Inc,Media & Publishing,$637.098M,18.48,6.17x,6.42%,30.25%,17.27%,0.00%
TBCP,Thunder Bridge Capital Partners III Inc,Holding Companies,$419.272M,9.89,78.33x,0.00%,1.68%,0.00%,0.00%
TDW,Tidewater Inc.,Oil & Gas Related Equipment and Services,$1.578B,33.94,--,77.01%,-8.90%,79.18%,0.00%
TBLMY,Tiger Brands Ltd (ADR),Food & Tobacco,$2.187B,12.13,0.00x,0.00%,0.00%,0.00%,4.36%
TLRY,Tilray Inc,Pharmaceuticals,$1.773B,2.90,--,0.00%,-11.50%,0.00%,0.00%
TKR,Timken Co,"Machinery, Equipment & Components",$5.183B,71.25,14.31x,9.01%,17.00%,25.00%,1.74%
TMST,Timkensteel Corp,Metals & Mining,$820.453M,18.45,6.37x,8.56%,22.93%,-35.20%,0.00%
TMNA,Tingo Inc,Software & IT Services,$716.378M,0.58,4.69x,0.00%,21.52%,0.00%,0.00%
TIOA,Tio Tech A,Holding Companies,$346.383M,10.04,40.13x,0.00%,3.27%,0.00%,0.00%
TIPT,Tiptree Inc,Holding Companies,$536.182M,14.79,--,0.00%,-2.47%,0.00%,1.08%
TWI,Titan International Inc,Automobiles & Auto Parts,$964.027M,15.34,6.01x,22.62%,65.57%,161.18%,0.00%
TITN,Titan Machinery Inc.,"Machinery, Equipment & Components",$873.992M,38.49,8.21x,34.97%,22.67%,63.76%,0.00%
TJX,TJX Companies Inc,Diversified Retail,$91.100B,78.84,27.49x,1.91%,56.15%,9.47%,1.50%
TLGA,TLG Acquisition One Corp,Holding Companies,$405.200M,10.13,43.61x,0.00%,3.09%,0.00%,0.00%
TOST,Toast Inc,Software & IT Services,$5.943B,17.77,--,59.24%,-16.43%,4.00%,0.00%
TKOMY,Tokio Marine Holdings Inc (ADR),Insurance,$50.325B,21.65,24.59x,0.00%,6.12%,0.00%,2.73%
